name;type;v1;v2;v3
Clients en attente;place;15;;
Dans manège;place;0;;
Espace attente;place;0;;
Groupe en place;place;0;;
groupe sorti;place;0;;
Manège en fonction;place;0;;
P3;place;0;;
Arrivée;transition;1;;
Départ;transition;1;;
Départ provoqué;transition;1;;
Entrée sas;transition;2;;
Montée wagon grp complet;transition;3;;
Opérateur force départ;transition;1;;
T4;transition;1;;
Arrivée to groupe sorti;normal;Arrivée;groupe sorti;1
Clients en attente to Entrée sas;normal;Clients en attente;Entrée sas;2
Dans manège to Arrivée;normal;Dans manège;Arrivée;1
Départ provoqué to Groupe en place;normal;Départ provoqué;Groupe en place;1
Départ provoqué to Manège en fonction;normal;Départ provoqué;Manège en fonction;1
Départ to Dans manège;normal;Départ;Dans manège;1
Entrée sas to Espace attente;normal;Entrée sas;Espace attente;2
Espace attente to Départ provoqué;inhibitor;Espace attente;Départ provoqué;
Espace attente to Montée wagon grp complet;normal;Espace attente;Montée wagon grp complet;10
Espace attente to Opérateur force départ;normal;Espace attente;Opérateur force départ;1
Espace attente to T4;normal;Espace attente;T4;1
Groupe en place to Départ;normal;Groupe en place;Départ;1
Manège en fonction to Arrivée;normal;Manège en fonction;Arrivée;1
Manège en fonction to Départ provoqué;inhibitor;Manège en fonction;Départ provoqué;
Manège en fonction to Entrée sas;inhibitor;Manège en fonction;Entrée sas;
Manège en fonction to Montée wagon grp complet;inhibitor;Manège en fonction;Montée wagon grp complet;
Manège en fonction to Opérateur force départ;inhibitor;Manège en fonction;Opérateur force départ;
Montée wagon grp complet to Groupe en place;normal;Montée wagon grp complet;Groupe en place;1
Montée wagon grp complet to Manège en fonction;normal;Montée wagon grp complet;Manège en fonction;1
Opérateur force départ to Espace attente;normal;Opérateur force départ;Espace attente;1
Opérateur force départ to P3;normal;Opérateur force départ;P3;1
P3 to Départ provoqué;normal;P3;Départ provoqué;1
P3 to Entrée sas;inhibitor;P3;Entrée sas;
P3 to Opérateur force départ;inhibitor;P3;Opérateur force départ;
P3 to T4;normal;P3;T4;1
T4 to P3;normal;T4;P3;1
