name;type;v1;v2;v3
Analyse terminée;place;0;;
Attente d->g;place;0;;
Attente g->d;place;0;;
dans SAS d->g;place;0;;
dans SAS g->d;place;0;;
Sens d->g;place;0;;
Sens g->d;place;1;;
Validation possible;place;0;;
Arrivée d;transition;1;;
Arrivée g;transition;1;;
Entrée SAS d->g;transition;1;;
Entrée SAS g->d;transition;1;;
Permut d-g;transition;1;;
Permut g-d;transition;1;;
sortie SAS d->g;transition;1;;
sortie SAS g->d;transition;1;;
Valiation;transition;1;;
Analyse terminée to sortie SAS g->d;normal;Analyse terminée;sortie SAS g->d;1
Analyse terminée to T6;normal;Analyse terminée;sortie SAS d->g;1
Arrivée g to Attente g->d;normal;Arrivée g;Attente g->d;1
Attente d->g to Permut g-d;normal;Attente d->g;Permut g-d;1
Attente g->d to Entrée SAS g->d;normal;Attente g->d;Entrée SAS g->d;1
Attente g->d to Permut d-g;normal;Attente g->d;Permut d-g;1
dans SAS g->d to sortie SAS g->d;normal;dans SAS g->d;sortie SAS g->d;1
Entrée SAS d->g to Validation possible;normal;Entrée SAS d->g;Validation possible;1
Entrée SAS g->d to dans SAS g->d;normal;Entrée SAS g->d;dans SAS g->d;1
Entrée SAS g->d to Validation possible;normal;Entrée SAS g->d;Validation possible;1
P4 to T5;normal;Attente d->g;Entrée SAS d->g;1
P5 to T6;normal;dans SAS d->g;sortie SAS d->g;1
P6 to T5;normal;Sens d->g;Entrée SAS d->g;1
Permut d-g to Attente g->d;normal;Permut d-g;Attente g->d;1
Permut d-g to Sens g->d;normal;Permut d-g;Sens g->d;1
Permut g-d to Attente d->g;normal;Permut g-d;Attente d->g;1
Permut g-d to Sens d->g;normal;Permut g-d;Sens d->g;1
Sens d->g to Permut d-g;normal;Sens d->g;Permut d-g;1
Sens g->d to Entrée SAS g->d;normal;Sens g->d;Entrée SAS g->d;1
Sens g->d to Permut g-d;normal;Sens g->d;Permut g-d;1
sortie SAS g->d to Sens d->g;normal;sortie SAS g->d;Sens d->g;1
T4 to P4;normal;Arrivée d;Attente d->g;1
T5 to P5;normal;Entrée SAS d->g;dans SAS d->g;1
T6 to Sens g->d;normal;sortie SAS d->g;Sens g->d;1
Valiation to Analyse terminée;normal;Valiation;Analyse terminée;1
Validation possible to Valiation;normal;Validation possible;Valiation;1
